meta_epoch,task_model_epoch_1_support_loss,task_model_epoch_1_support_loss_d,task_model_epoch_1_support_loss_s,task_model_epoch_1_task_learning_rate,task_model_epoch_2_support_loss,task_model_epoch_2_support_loss_d,task_model_epoch_2_support_loss_s,task_model_epoch_2_task_learning_rate,task_model_epoch_3_support_loss,task_model_epoch_3_support_loss_d,task_model_epoch_3_support_loss_s,task_model_epoch_3_task_learning_rate,meta_model_validation_f1_score_percent,meta_model_validation_f1_score_percent_base,meta_model_validation_loss,meta_model_validation_loss_d,meta_model_validation_loss_s
10,1.514508605003357,1.4210002422332764,0.09350837767124176,0.001,1.48142409324646,1.418432593345642,0.06299154460430145,0.00075,1.4667627811431885,1.4153600931167603,0.05140271037817001,0.0002500000000000001,34.11162568457712,43.9086002370194,1.4188812971115112,1.4177290201187134,0.0011523128487169743
20,1.4876341819763184,1.389706015586853,0.09792811423540115,0.001,1.454948902130127,1.387362003326416,0.06758686900138855,0.00075,1.4389264583587646,1.3841091394424438,0.05481728911399841,0.0002500000000000001,40.28000037030185,46.54718266219886,1.3876835107803345,1.386603832244873,0.0010797125287353992
30,1.4393202066421509,1.3586454391479492,0.08067472279071808,0.001,1.412466287612915,1.356166124343872,0.05630015954375267,0.00075,1.3992223739624023,1.353482723236084,0.04573970288038254,0.0002500000000000001,40.16074816526328,43.30094386312414,1.3566977977752686,1.3556243181228638,0.001073469640687108
40,1.4137020111083984,1.32915461063385,0.08454742282629013,0.001,1.3800452947616577,1.327109932899475,0.0529353991150856,0.00075,1.3621982336044312,1.3244500160217285,0.037748225033283234,0.0002500000000000001,45.78360935394154,47.57242354663079,1.3274658918380737,1.3264949321746826,0.0009710008162073791
50,1.3673423528671265,1.3016830682754517,0.06565931439399719,0.001,1.3380461931228638,1.299733281135559,0.0383128859102726,0.00075,1.329012393951416,1.2973264455795288,0.03168599307537079,0.0002500000000000001,47.086528167602346,48.838017604385506,1.2999244928359985,1.2989847660064697,0.0009397010435350239
60,1.3517932891845703,1.2755340337753296,0.07625925540924072,0.001,1.3161007165908813,1.274045705795288,0.04205497354269028,0.00075,1.3015342950820923,1.2716056108474731,0.02992871217429638,0.0002500000000000001,46.97883050370032,47.97167362473262,1.2739953994750977,1.2730789184570312,0.0009164265939034522
70,1.3208098411560059,1.251010537147522,0.06979933381080627,0.001,1.2881207466125488,1.2497347593307495,0.038386017084121704,0.00075,1.2753281593322754,1.2472180128097534,0.02811012789607048,0.0002500000000000001,49.053134244041765,49.834157116280906,1.2494704723358154,1.2486032247543335,0.0008671881514601409
80,1.290927529335022,1.2276802062988281,0.06324736773967743,0.001,1.2613282203674316,1.2265938520431519,0.03473431244492531,0.00075,1.2487366199493408,1.2244244813919067,0.02431216463446617,0.0002500000000000001,49.352063845816964,50.50081465397533,1.2264701128005981,1.2255959510803223,0.0008741734200157225
90,1.277260661125183,1.20591139793396,0.07134931534528732,0.001,1.241866946220398,1.204655647277832,0.037211284041404724,0.00075,1.2304222583770752,1.2028069496154785,0.02761535719037056,0.0002500000000000001,50.76327371560383,52.286933284976136,1.204746127128601,1.203904151916504,0.0008420133381150663
100,1.2512739896774292,1.1853774785995483,0.06589648127555847,0.001,1.2177029848098755,1.1841423511505127,0.03356066346168518,0.00075,1.2045046091079712,1.1822034120559692,0.02230115793645382,0.0002500000000000001,50.698783937667926,52.148210615574556,1.1840845346450806,1.1832878589630127,0.0007966384291648865
