meta_epoch,task_model_epoch_1_support_loss,task_model_epoch_1_support_loss_d,task_model_epoch_1_support_loss_s,task_model_epoch_1_task_learning_rate,task_model_epoch_2_support_loss,task_model_epoch_2_support_loss_d,task_model_epoch_2_support_loss_s,task_model_epoch_2_task_learning_rate,task_model_epoch_3_support_loss,task_model_epoch_3_support_loss_d,task_model_epoch_3_support_loss_s,task_model_epoch_3_task_learning_rate,meta_model_validation_f1_score_percent,meta_model_validation_f1_score_percent_base,meta_model_validation_loss,meta_model_validation_loss_d,meta_model_validation_loss_s
10,1.977976679801941,1.7879383563995361,0.19003832340240479,0.001,1.943159580230713,1.783774495124817,0.15938512980937958,0.00075,1.9272602796554565,1.7802308797836304,0.14702937006950378,0.0002500000000000001,5.195082615102926,5.195082615102926,1.7864285707473755,1.7842680215835571,0.002160546835511923
20,1.9407099485397339,1.7504894733428955,0.19022051990032196,0.001,1.891077995300293,1.746964693069458,0.14411325752735138,0.00075,1.8715333938598633,1.7434395551681519,0.12809380888938904,0.0002500000000000001,10.153999544262629,10.153999544262629,1.7489371299743652,1.7468948364257812,0.0020422562956809998
30,1.8758844137191772,1.713228702545166,0.16265569627285004,0.001,1.8360823392868042,1.7090821266174316,0.12700024247169495,0.00075,1.817786455154419,1.705674409866333,0.11211204528808594,0.0002500000000000001,14.470759137596662,14.470759137596662,1.7112529277801514,1.7094650268554688,0.001787933404557407
40,1.8042311668395996,1.675229549407959,0.12900160253047943,0.001,1.7698721885681152,1.671256422996521,0.09861578792333603,0.00075,1.749578595161438,1.6675735712051392,0.08200506865978241,0.0002500000000000001,24.387459967261524,24.387459967261524,1.6728947162628174,1.6713980436325073,0.001496648881584406
50,1.751797080039978,1.6367261409759521,0.11507098376750946,0.001,1.7208478450775146,1.6330506801605225,0.08779721707105637,0.00075,1.7043650150299072,1.6292989253997803,0.07506607472896576,0.0002500000000000001,30.486837308087996,30.486837308087996,1.634395956993103,1.632992148399353,0.0014037855435162783
60,1.7009435892105103,1.5988034009933472,0.1021401658654213,0.001,1.663265347480774,1.5950766801834106,0.06818866729736328,0.00075,1.6485936641693115,1.5915216207504272,0.0570719838142395,0.0002500000000000001,38.777564806022404,38.777564806022404,1.596204161643982,1.5949856042861938,0.0012185004306957126
70,1.6595861911773682,1.560996174812317,0.0985899567604065,0.001,1.6161941289901733,1.5571333169937134,0.05906078591942787,0.00075,1.6013292074203491,1.5539002418518066,0.04742897301912308,0.0002500000000000001,45.40596523078773,45.40596523078773,1.5582956075668335,1.5572099685668945,0.0010855859145522118
80,1.5993539094924927,1.524379014968872,0.07497486472129822,0.001,1.5667321681976318,1.5210095643997192,0.045722659677267075,0.00075,1.5538991689682007,1.5173503160476685,0.03654885292053223,0.0002500000000000001,49.90704937436196,49.90704937436196,1.5217201709747314,1.5207281112670898,0.0009920709999278188
90,1.5599043369293213,1.4881764650344849,0.0717279240489006,0.001,1.5208622217178345,1.4846515655517578,0.03621064871549606,0.00075,1.5101642608642578,1.4811357259750366,0.02902856655418873,0.0002500000000000001,49.47399194025083,49.47399194025083,1.4852763414382935,1.484316110610962,0.000960252364166081
100,1.5302146673202515,1.45383620262146,0.07637850940227509,0.001,1.4931997060775757,1.4511152505874634,0.042084455490112305,0.00075,1.4813958406448364,1.4478256702423096,0.033570174127817154,0.0002500000000000001,50.849849667728165,50.849849667728165,1.451381802558899,1.4504896402359009,0.0008921337430365384
