meta_epoch,task_model_epoch_1_support_loss,task_model_epoch_1_support_loss_d,task_model_epoch_1_support_loss_s,task_model_epoch_1_task_learning_rate,task_model_epoch_2_support_loss,task_model_epoch_2_support_loss_d,task_model_epoch_2_support_loss_s,task_model_epoch_2_task_learning_rate,task_model_epoch_3_support_loss,task_model_epoch_3_support_loss_d,task_model_epoch_3_support_loss_s,task_model_epoch_3_task_learning_rate,meta_model_validation_f1_score_percent,meta_model_validation_f1_score_percent_base,meta_model_validation_loss,meta_model_validation_loss_d,meta_model_validation_loss_s
10,1.512319803237915,1.4205845594406128,0.09173529595136642,0.001,1.4814311265945435,1.4174484014511108,0.06398274749517441,0.00075,1.4670264720916748,1.414137840270996,0.05288863927125931,0.0002500000000000001,37.32458955579548,50.65585968608373,1.4182043075561523,1.4170478582382202,0.0011564753949642181
20,1.4787304401397705,1.3891292810440063,0.08960117399692535,0.001,1.4480527639389038,1.3864535093307495,0.061599232256412506,0.00075,1.4352244138717651,1.3833240270614624,0.05190041661262512,0.0002500000000000001,40.70915807215967,47.985504027523426,1.3869445323944092,1.3858250379562378,0.0011195519473403692
30,1.4406850337982178,1.3586663007736206,0.08201877027750015,0.001,1.4086321592330933,1.3565595149993896,0.052072618156671524,0.00075,1.3950363397598267,1.353493332862854,0.041542962193489075,0.0002500000000000001,46.272305132623316,52.55967215555515,1.3567473888397217,1.3557413816452026,0.0010059799533337355
40,1.4124523401260376,1.32919442653656,0.08325791358947754,0.001,1.3790724277496338,1.3274985551834106,0.05157383531332016,0.00075,1.3634947538375854,1.3248904943466187,0.0386042520403862,0.0002500000000000001,48.35760547995155,54.369044616399556,1.3276044130325317,1.3266681432724,0.0009362458367832005
50,1.3762489557266235,1.3017158508300781,0.07453315705060959,0.001,1.341925859451294,1.2994859218597412,0.042439937591552734,0.00075,1.3301688432693481,1.2970870733261108,0.0330817848443985,0.0002500000000000001,50.8431911669652,56.21271196571783,1.2999656200408936,1.2990516424179077,0.0009139837347902358
60,1.3408454656600952,1.2753357887268066,0.06550969183444977,0.001,1.308716893196106,1.2738372087478638,0.03487970679998398,0.00075,1.297416090965271,1.2712416648864746,0.02617439441382885,0.0002500000000000001,49.08823433357741,54.33356755735244,1.2737802267074585,1.2728745937347412,0.0009056063718162477
70,1.3181499242782593,1.2501939535140991,0.06795594841241837,0.001,1.2877743244171143,1.2484166622161865,0.039357710629701614,0.00075,1.2757021188735962,1.2461425065994263,0.0295596681535244,0.0002500000000000001,49.64732008797247,55.168617033498734,1.2486116886138916,1.2477633953094482,0.000848233699798584
80,1.289851188659668,1.2267847061157227,0.06306648999452591,0.001,1.259033203125,1.225428819656372,0.033604420721530914,0.00075,1.2488412857055664,1.223363995552063,0.025477340444922447,0.0002500000000000001,49.61507351437513,52.918237641720324,1.2254315614700317,1.2245503664016724,0.0008812031010165811
90,1.280261754989624,1.204342007637024,0.07591979205608368,0.001,1.2430641651153564,1.2032018899917603,0.039862219244241714,0.00075,1.2282763719558716,1.2013300657272339,0.026946352794766426,0.0002500000000000001,52.04097936077563,55.36549744343397,1.2030866146087646,1.2022550106048584,0.0008315810700878501
100,1.25209379196167,1.183133840560913,0.06895993649959564,0.001,1.2187618017196655,1.1826550960540771,0.03610672429203987,0.00075,1.2070802450180054,1.1808853149414062,0.026194976642727852,0.0002500000000000001,51.89992206893784,55.5430230102154,1.1823071241378784,1.1815105676651,0.0007965769618749619
