meta_epoch,task_model_epoch_1_support_loss,task_model_epoch_1_support_loss_d,task_model_epoch_1_support_loss_s,task_model_epoch_1_task_learning_rate,task_model_epoch_2_support_loss,task_model_epoch_2_support_loss_d,task_model_epoch_2_support_loss_s,task_model_epoch_2_task_learning_rate,task_model_epoch_3_support_loss,task_model_epoch_3_support_loss_d,task_model_epoch_3_support_loss_s,task_model_epoch_3_task_learning_rate,meta_model_validation_f1_score_percent,meta_model_validation_f1_score_percent_base,meta_model_validation_loss,meta_model_validation_loss_d,meta_model_validation_loss_s
10,1.5171973705291748,1.4168933629989624,0.1003040224313736,0.001,1.4841828346252441,1.4140894412994385,0.07009343802928925,0.00075,1.4659171104431152,1.4107577800750732,0.05515938997268677,0.0002500000000000001,38.43118831873846,50.119743375860104,1.4147555828094482,1.4135961532592773,0.0011594308307394385
20,1.4681363105773926,1.385558843612671,0.08257744461297989,0.001,1.4413926601409912,1.3832508325576782,0.05814176797866821,0.00075,1.4238890409469604,1.380138874053955,0.04375012591481209,0.0002500000000000001,45.10439885942595,53.21912380637218,1.3836017847061157,1.3825299739837646,0.001071773935109377
30,1.4277286529541016,1.3553833961486816,0.07234521210193634,0.001,1.3989298343658447,1.352935552597046,0.045994289219379425,0.00075,1.3844420909881592,1.3502219915390015,0.03422006964683533,0.0002500000000000001,46.117469045220936,52.36717444915258,1.3534317016601562,1.3524154424667358,0.0010162367252632976
40,1.405696153640747,1.3265327215194702,0.07916348427534103,0.001,1.370753526687622,1.3247566223144531,0.04599696397781372,0.00075,1.3573435544967651,1.322035312652588,0.035308241844177246,0.0002500000000000001,47.65274788146746,53.76436570760721,1.324800729751587,1.3238381147384644,0.0009626672836020589
50,1.3718500137329102,1.2989213466644287,0.07292862981557846,0.001,1.3406471014022827,1.2972674369812012,0.043379634618759155,0.00075,1.3263463973999023,1.2948285341262817,0.031517889350652695,0.0002500000000000001,49.00530031441571,54.59426645460794,1.297356128692627,1.2964093685150146,0.0009468010393902659
60,1.3418633937835693,1.2733341455459595,0.06852927803993225,0.001,1.312562108039856,1.271950125694275,0.04061194136738777,0.00075,1.3004244565963745,1.2694154977798462,0.031008901074528694,0.0002500000000000001,50.90830483177085,55.11839333253079,1.2718582153320312,1.270971655845642,0.0008865929557941854
70,1.3177835941314697,1.2490521669387817,0.06873147934675217,0.001,1.2846027612686157,1.2479802370071411,0.03662256896495819,0.00075,1.2727301120758057,1.2454609870910645,0.027269108220934868,0.0002500000000000001,48.992594138535885,53.486626621536615,1.247601866722107,1.2467267513275146,0.0008751146961003542
80,1.3074743747711182,1.2267191410064697,0.08075522631406784,0.001,1.2660785913467407,1.2255668640136719,0.04051173850893974,0.00075,1.2539291381835938,1.2233468294143677,0.03058231808245182,0.0002500000000000001,50.7466389177079,55.62123069663093,1.2252025604248047,1.2243634462356567,0.0008391416049562395
90,1.2609165906906128,1.2056611776351929,0.055255383253097534,0.001,1.2319467067718506,1.2042492628097534,0.027697429060935974,0.00075,1.2218809127807617,1.2023494243621826,0.019531454890966415,0.0002500000000000001,53.69930158474639,56.73004221598148,1.2041995525360107,1.2033973932266235,0.0008022175170481205
100,1.2546032667160034,1.185752511024475,0.0688507929444313,0.001,1.219404935836792,1.184823989868164,0.03458095341920853,0.00075,1.206581473350525,1.1830981969833374,0.023483235388994217,0.0002500000000000001,53.95170217730004,57.53449988604524,1.184709906578064,1.1839240789413452,0.0007858487078920007
