meta_epoch,task_model_epoch_1_support_loss,task_model_epoch_1_support_loss_d,task_model_epoch_1_support_loss_s,task_model_epoch_1_task_learning_rate,task_model_epoch_2_support_loss,task_model_epoch_2_support_loss_d,task_model_epoch_2_support_loss_s,task_model_epoch_2_task_learning_rate,task_model_epoch_3_support_loss,task_model_epoch_3_support_loss_d,task_model_epoch_3_support_loss_s,task_model_epoch_3_task_learning_rate,meta_model_validation_f1_score_percent,meta_model_validation_f1_score_percent_base,meta_model_validation_loss,meta_model_validation_loss_d,meta_model_validation_loss_s
10,1.9665080308914185,1.7731695175170898,0.1933385133743286,0.001,1.9261550903320312,1.7685109376907349,0.1576441526412964,0.00075,1.9085185527801514,1.7647795677185059,0.1437389999628067,0.0002500000000000001,6.29508004760129,6.29508004760129,1.7712244987487793,1.7690578699111938,0.0021665841341018677
20,1.912578821182251,1.7344248294830322,0.17815403640270233,0.001,1.8655200004577637,1.7303647994995117,0.13515517115592957,0.00075,1.8457533121109009,1.7266881465911865,0.11906512826681137,0.0002500000000000001,12.326896757540744,12.326896757540744,1.73258376121521,1.7305611371994019,0.002022628439590335
30,1.8644386529922485,1.6966205835342407,0.1678180992603302,0.001,1.8102495670318604,1.693129062652588,0.11712053418159485,0.00075,1.791791558265686,1.6895350217819214,0.10225657373666763,0.0002500000000000001,15.437205112587687,15.437205112587687,1.694671392440796,1.6928722858428955,0.0017990997293964028
40,1.7867027521133423,1.6587245464324951,0.12797817587852478,0.001,1.7489639520645142,1.6549885272979736,0.09397537261247635,0.00075,1.7315679788589478,1.6512881517410278,0.08027981221675873,0.0002500000000000001,25.119323385618642,25.119323385618642,1.6564154624938965,1.654876708984375,0.0015387898311018944
50,1.7342545986175537,1.6217299699783325,0.11252458393573761,0.001,1.703503966331482,1.618324637413025,0.08517929166555405,0.00075,1.6846107244491577,1.6146942377090454,0.06991647183895111,0.0002500000000000001,36.26411246685781,39.05365957969303,1.6193009614944458,1.6179864406585693,0.0013145699631422758
60,1.6919453144073486,1.5851794481277466,0.10676581412553787,0.001,1.6522293090820312,1.5823465585708618,0.06988275051116943,0.00075,1.6349328756332397,1.5786765813827515,0.05625630542635918,0.0002500000000000001,42.50530390762229,42.50530390762229,1.582926630973816,1.5817394256591797,0.001187215093523264
70,1.6426857709884644,1.549520492553711,0.09316529333591461,0.001,1.603910207748413,1.5463229417800903,0.057587288320064545,0.00075,1.5913336277008057,1.542830467224121,0.04850320890545845,0.0002500000000000001,39.14661752675982,39.14661752675982,1.5472325086593628,1.5460704565048218,0.0011620349250733852
80,1.602891445159912,1.515023946762085,0.08786754310131073,0.001,1.5689148902893066,1.5124638080596924,0.056451134383678436,0.00075,1.551633596420288,1.5090209245681763,0.042612671852111816,0.0002500000000000001,50.80746883456106,50.80746883456106,1.5126698017120361,1.5117042064666748,0.0009656186448410153
90,1.5719366073608398,1.4814363718032837,0.09050023555755615,0.001,1.5369917154312134,1.4787065982818604,0.05828511714935303,0.00075,1.5203783512115479,1.475281834602356,0.04509655386209488,0.0002500000000000001,51.37362186808823,51.37362186808823,1.4790680408477783,1.4781274795532227,0.0009405976161360741
100,1.5303200483322144,1.448551893234253,0.0817682072520256,0.001,1.4908384084701538,1.4461033344268799,0.044735051691532135,0.00075,1.4763479232788086,1.4428160190582275,0.033531881868839264,0.0002500000000000001,50.226456157838285,50.226456157838285,1.4462741613388062,1.445363163948059,0.0009109420934692025
